player_id,nickname,real_name,age,country,current_team,teams,total_kills,total_deaths,headshot_percentage,damage_per_round,grenade_dmg_per_round,maps_played,rounds_played,kills_per_death,kills_per_round,assists_per_round,deaths_per_round,saved_by_teammate_per_round,saved_teammates_per_round,rounds_with_kills,kill_to_death_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_win_percent_after_first_kill,first_kill_in_won_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,rating
18227,SENSEi,Dmitriy Shvorak,23,Ukraine,Iron Branch,"CR4ZY, Project X, Akuma, Run or Die",9369,6979,31.3%,76.1,2.7,474,12537,1.34,0.75,0.09,0.56,0.07,0.09,6358,K - D diff.,1612,812,1.99,1.2,74.4%,19.1%,6179,4062,1715,461,106,14,2118,5533,202,1440,73,28,1.21
18072,torzsi,Ádám Torzsás,20,Hungary,MOUZ,"MOUZ, Budapest Five, MOUZ NXT, Salamander",9904,7896,29.1%,78.0,2.5,478,12776,1.25,0.78,0.09,0.62,0.08,0.11,6499,K - D diff.,1578,1028,1.54,1.15,76.2%,18.3%,6277,4001,1751,603,128,16,2352,5696,183,1606,83,39,1.18
7592,device,Nicolai Reedtz,26,Denmark,NIP,"Astralis, TSM",36293,29085,35.0%,80.3,4.3,1793,46666,1.25,0.78,0.13,0.62,0.07,0.08,23693,K - D diff.,6207,4437,1.4,1.17,78.5%,18.9%,22973,14353,6700,2125,467,48,14483,12758,1566,6978,431,121,1.16
16207,DANK1NG,Zhenghao Lv,22,China,TYLOO,"TYLOO, EHOME",8149,6556,39.7%,79.8,2.3,391,10366,1.24,0.79,0.1,0.63,0.09,0.1,5400,K - D diff.,1384,921,1.5,1.19,73.3%,18.3%,4966,3335,1499,458,98,10,3124,3177,318,1435,64,66,1.2
3741,NiKo,Nikola Kovač,25,Bosnia and Herzegovina,G2,"G2, FaZe, MOUZ",34634,29087,50.4%,86.0,4.4,1637,43526,1.19,0.8,0.13,0.67,0.08,0.1,22258,K - D diff.,6195,5049,1.23,1.18,73.1%,20.0%,21268,13294,6231,2146,519,68,23581,3296,1138,6308,297,89,1.15
15165,blameF,Benjamin Bremer,25,Denmark,Astralis,"Astralis, Complexity, Heroic, Epsilon",18058,14312,39.2%,85.6,7.1,884,23631,1.26,0.76,0.14,0.61,0.07,0.09,12024,K - D diff.,2857,1995,1.43,1.13,74.1%,17.6%,11607,7531,3222,1024,224,23,14032,164,827,2661,397,64,1.22
7131,BnTeT,Hansel Ferdinand,26,Indonesia,TYLOO,"TYLOO, Gen.G, EXTREMUM",20591,16796,39.8%,83.0,5.1,1033,26924,1.23,0.76,0.14,0.62,0.1,0.12,13454,K - D diff.,2330,1934,1.2,0.98,75.7%,12.2%,13470,8251,3628,1255,281,39,15155,728,1169,3259,305,45,1.15
9216,coldzera,Marcelo David,27,Brazil,00NATION,"SK, FaZe, Luminosity, MIBR",28576,22946,49.4%,79.2,2.4,1426,37264,1.25,0.77,0.11,0.62,0.08,0.1,19016,K - D diff.,3355,2453,1.37,1.01,74.9%,12.5%,18248,11854,5167,1623,341,31,17732,3229,2161,5249,205,60,1.15
9102,Sico,Simon Williams,27,New Zealand,ORDER,"ORDER, Renegades, Grayhound, Kings",17188,13437,35.4%,79.1,6.9,902,22858,1.28,0.75,0.14,0.59,0.09,0.1,11611,K - D diff.,2600,1399,1.86,1.13,80.9%,16.1%,11247,7366,3111,954,162,18,5220,7131,982,3423,439,29,1.15
9172,XigN,Hyun-Pyo Lee,25,Korea,NKT,"NKT, MVP PK, MVP Project",14756,12329,52.4%,82.6,2.8,727,18859,1.2,0.78,0.12,0.65,0.09,0.1,9608,K - D diff.,2189,1915,1.14,1.08,72.4%,15.7%,9251,5822,2662,912,186,26,10598,371,1087,2569,113,47,1.14
15631,KSCERATO,Kaike Cerato,22,Brazil,FURIA,FURIA,17821,14059,49.4%,79.2,5.4,930,24208,1.27,0.74,0.13,0.58,0.08,0.1,11907,K - D diff.,2047,1497,1.37,0.99,75.0%,11.7%,12301,7473,3205,1006,195,28,12854,551,1355,2739,326,101,1.18
8944,Benkai,Benedict Tan,25,Singapore,,"BOOT-d[S], BOOT, dream[S]cape",12164,10118,46.7%,85.4,4.2,603,15560,1.2,0.78,0.14,0.65,0.07,0.1,7983,K - D diff.,1838,1550,1.19,1.09,75.8%,17.0%,7577,4863,2231,732,142,15,8704,427,826,1973,157,101,1.14
11847,Texta,Matthew O'Rourke,21,Australia,,"Chiefs, Athletico, Dark Sided",12510,10760,40.3%,87.1,3.6,625,15713,1.16,0.8,0.18,0.68,0.1,0.13,8125,K - D diff.,1908,1825,1.05,1.08,75.8%,16.9%,7588,4887,2284,775,165,14,9814,148,264,2192,109,6,1.21
13776,Jame,Dzhami Ali,23,Russia,Outsiders,"AVANGAR, Virtus.pro",22608,17316,25.2%,73.0,3.9,1189,31521,1.31,0.72,0.09,0.55,0.07,0.09,15469,K - D diff.,3753,2089,1.8,1.15,76.0%,17.1%,16052,10001,4041,1202,206,19,3061,14965,1081,3198,252,137,1.17
9626,XELLOW,Adrian Guță,21,Romania,ECSTATIC,Nexus,22423,19052,40.4%,80.0,1.8,1097,28850,1.18,0.78,0.11,0.66,0.09,0.11,14611,K - D diff.,3983,2960,1.35,1.19,73.4%,19.8%,14239,8851,4086,1327,316,31,8583,9211,507,3998,133,50,1.13
16847,mhL,Miłosz Knasiak,20,Poland,MOUZ NXT,"MOUZ NXT, AGO",10241,8484,28.5%,80.0,3.8,498,13378,1.21,0.77,0.12,0.63,0.1,0.11,6773,K - D diff.,1656,1114,1.49,1.15,76.7%,18.4%,6605,4156,1896,596,120,5,2444,5801,181,1687,153,16,1.17
798,oskar,Tomáš Šťastný,31,Czech Republic,Tokyo Revengers,"MOUZ, SINNERS, HellRaisers",29371,24509,30.5%,78.2,3.4,1460,38504,1.2,0.76,0.1,0.64,0.07,0.08,19306,K - D diff.,5123,3652,1.4,1.17,73.4%,18.9%,19198,11802,5377,1731,363,33,5625,16854,1023,5191,335,406,1.13
13281,El1an,Aleksei Gusev,23,Russia,Entropiq,"Entropiq, Winstrike, EPG",26132,21336,27.1%,78.1,2.7,1304,34783,1.22,0.75,0.11,0.61,0.07,0.08,17472,K - D diff.,4718,2938,1.61,1.2,74.5%,19.7%,17311,10958,4691,1525,273,25,5031,16248,396,4164,233,122,1.17
7167,kennyS,Kenny Schrub,27,France,G2,"G2, Envy, Titan",37067,30736,31.2%,74.7,3.4,1852,48898,1.21,0.76,0.11,0.63,0.09,0.11,24567,K - D diff.,5847,3969,1.47,1.13,76.5%,17.5%,24331,15241,6747,2120,412,47,8533,19544,843,7423,707,80,1.13
10774,Freeman,WingHei Cheung,23,Hong Kong,YK,"ViCi, TYLOO",15040,12743,49.1%,80.7,2.9,773,19766,1.18,0.76,0.13,0.64,0.09,0.11,9837,K - D diff.,1902,1717,1.11,1.0,75.7%,13.5%,9929,5988,2725,918,182,24,10686,690,766,2735,158,32,1.16
10981,mantuu,Mateusz Wilczewski,24,Poland,,"OG, ALTERNATE aTTaX, PANTHERS",13904,11530,35.7%,76.7,3.4,696,18646,1.21,0.75,0.11,0.62,0.09,0.12,9247,K - D diff.,2203,1553,1.42,1.12,73.4%,17.3%,9399,5767,2516,774,167,23,5626,5438,448,2252,151,31,1.16
3972,huNter-,Nemanja Kovač,26,Bosnia and Herzegovina,G2,"G2, Valiance, Binary Dragons",30144,25923,49.4%,84.8,5.5,1474,38947,1.16,0.77,0.14,0.67,0.1,0.11,19652,K - D diff.,4536,3818,1.19,1.09,76.1%,16.6%,19295,11861,5534,1846,378,33,21272,344,3190,4826,422,156,1.12
9960,frozen,David Čerňanský,20,Slovakia,MOUZ,"MOUZ, eXtatus",24136,20574,54.6%,82.9,5.1,1218,31866,1.17,0.76,0.13,0.65,0.09,0.11,15834,K - D diff.,3463,3098,1.12,1.05,73.5%,15.1%,16032,9799,4184,1471,344,36,17384,1178,849,4379,333,100,1.12
16816,vsm,Vinicius Moreira,23,Brazil,00NATION,"DETONA, 00NATION",10883,9398,47.0%,83.6,3.1,533,14130,1.16,0.77,0.13,0.67,0.09,0.1,7098,K - D diff.,1806,1548,1.17,1.12,73.2%,17.9%,7032,4315,1963,647,164,9,7544,1047,404,1800,99,32,1.18
12877,chelleos,Michael Hawkins,22,New Zealand,,"Rooster, madlikewizards, Paradox",11270,9818,32.0%,84.2,4.1,560,14454,1.15,0.78,0.13,0.68,0.1,0.09,7347,K - D diff.,2574,2036,1.26,1.32,72.3%,24.8%,7107,4471,2021,679,160,16,3548,5692,260,1601,160,35,1.2
11141,erkaSt,Erdenetsogt Gantulga,27,Mongolia,NKT,"Grayhound, TIGER, Immunity",17397,14889,50.1%,83.3,5.1,869,22571,1.17,0.77,0.15,0.66,0.09,0.09,11431,K - D diff.,2385,2041,1.17,1.04,75.2%,14.3%,11140,6979,3187,1032,217,16,12309,384,1608,2838,247,52,1.17
12553,yuurih,Yuri Santos,22,Brazil,FURIA,FURIA,20149,16995,44.3%,84.2,5.0,1022,26677,1.19,0.76,0.15,0.64,0.09,0.11,13336,K - D diff.,2580,1877,1.37,1.03,76.4%,13.7%,13341,8292,3570,1201,251,22,15471,453,744,3219,286,43,1.18
8574,woxic,Özgür Eker,23,Turkey,Eternal Fire,"Eternal Fire, HellRaisers, MOUZ, DarkPassage",22815,18947,32.1%,76.4,2.4,1178,30952,1.2,0.74,0.11,0.61,0.08,0.1,15130,K - D diff.,3693,2485,1.49,1.13,76.1%,17.3%,15822,9398,4130,1287,279,36,6232,12438,462,3472,214,84,1.12
1088,liTTle,Anatoliy Yashin,33,Russia,HellRaisers,"forZe, RuSh3D, Spartak, Enso",9317,7766,27.7%,78.5,2.6,457,12154,1.2,0.77,0.1,0.64,0.07,0.09,6279,K - D diff.,1595,1041,1.53,1.18,71.6%,19.0%,5875,3952,1735,484,99,9,1248,5656,105,2206,112,7,1.12
11140,INS,Joshua Potter,23,Australia,ORDER,"ORDER, Renegades, Chiefs, Tainted Minds",18179,15568,42.5%,85.6,8.5,946,23988,1.17,0.76,0.17,0.65,0.1,0.09,11887,K - D diff.,2792,2439,1.14,1.08,77.5%,15.9%,12101,7199,3368,1063,230,27,12322,825,1492,3018,490,77,1.19
5736,kNgV-,Vito Giuseppe,29,Brazil,,"MIBR, INTZ",16548,14142,32.7%,78.5,2.1,827,21606,1.17,0.77,0.1,0.65,0.08,0.09,10956,K - D diff.,2929,2200,1.33,1.17,74.6%,19.4%,10650,6792,2989,945,207,23,5082,7983,732,2586,142,48,1.12
11816,ropz,Robin Kool,22,Estonia,FaZe,MOUZ,22490,18697,51.6%,78.5,2.4,1149,30413,1.2,0.74,0.11,0.61,0.07,0.09,14993,K - D diff.,2943,2410,1.22,1.02,73.1%,13.5%,15420,9347,4109,1251,258,28,16807,1080,738,3679,131,117,1.15
14087,Jamppi,Elias Olkkonen,21,Finland,,"SJ, ENCE",10302,8894,31.8%,78.2,2.8,503,13449,1.16,0.77,0.1,0.66,0.08,0.09,6747,K - D diff.,2050,1538,1.33,1.24,72.5%,22.2%,6702,4128,1826,658,127,8,2872,5073,421,1835,83,46,1.15
9884,wrath,Collin McSweegan,20,United States,,"New Identity, Secret Club, BlackOut",10634,9395,50.1%,83.9,3.5,525,13568,1.13,0.78,0.14,0.69,0.11,0.14,6906,K - D diff.,1518,1276,1.19,1.07,74.8%,16.2%,6662,4167,1920,672,124,23,8173,205,404,1766,91,16,1.12
8412,dream3r,Simeon Ganev,25,Bulgaria,SKADE,"SKADE, E-frag.net, Fiend",24903,20679,49.7%,77.0,3.2,1283,33620,1.2,0.74,0.12,0.62,0.08,0.11,16695,K - D diff.,2721,2236,1.22,0.96,74.3%,11.2%,16925,10474,4539,1418,237,27,19438,349,272,4561,296,45,1.11
13238,PTC,Kitikawin Rattanasukol,23,Thailand,,"Lucid Dream, 5POWER",9304,7896,36.1%,76.9,2.0,476,12393,1.18,0.75,0.1,0.64,0.08,0.09,6199,K - D diff.,1542,1102,1.4,1.14,73.1%,17.5%,6194,3885,1655,538,110,11,3249,3987,349,1649,63,27,1.14
12733,xsepower,Bogdan Chernikov,24,Russia,K23,"K23, forZe",24769,20066,24.9%,72.4,2.2,1282,34452,1.23,0.72,0.08,0.58,0.07,0.08,16798,K - D diff.,5002,3073,1.63,1.24,74.9%,20.8%,17654,10662,4559,1337,222,18,2339,17549,825,3919,175,47,1.15
15662,zorte,Aleksandr Zagodyrenko,24,Russia,forZe,"forZe, Unique",14696,12200,36.5%,74.3,2.7,754,20154,1.2,0.73,0.09,0.61,0.09,0.11,9854,K - D diff.,2584,1670,1.55,1.17,74.1%,18.6%,10300,6195,2676,805,156,22,4279,7548,239,2509,139,27,1.15
10394,Twistzz,Russel Van Dulken,22,Canada,FaZe,"FaZe, Liquid",26811,22783,62.3%,76.9,3.4,1394,36637,1.18,0.73,0.11,0.62,0.1,0.12,17685,K - D diff.,3212,2943,1.09,0.97,73.9%,12.2%,18952,10984,4732,1563,356,50,19443,782,1240,5120,239,65,1.11
8943,splashske,Nevin Aw,23,Singapore,,"BOOT-d[S], HZ, BOOT, dream[S]cape",14145,12334,38.4%,78.5,3.5,722,18651,1.15,0.76,0.11,0.66,0.09,0.09,9213,K - D diff.,2658,1858,1.43,1.21,73.6%,20.1%,9438,5577,2549,897,171,19,4741,6178,525,2539,167,24,1.11
14736,dgt,Franco Garcia,21,Uruguay,9z,9z,8304,6898,49.5%,77.8,3.5,426,11279,1.2,0.74,0.12,0.61,0.09,0.12,5602,K - D diff.,1008,777,1.3,1.0,75.4%,12.6%,5677,3557,1494,452,92,7,6750,50,201,1217,97,29,1.15
2757,GuardiaN,Ladislav Kovács,31,Slovakia,Sampi,"Natus Vincere, FaZe",30535,25774,29.6%,71.8,2.8,1578,41357,1.18,0.74,0.11,0.62,0.08,0.09,20238,K - D diff.,5307,3777,1.41,1.16,76.4%,18.6%,21119,12563,5497,1828,313,37,6940,17441,706,5096,326,68,1.11
13249,oSee,Josh Ohm,23,United States,Liquid,"Extra Salt, Singularity, Cloud9",21303,17903,31.7%,76.5,2.9,1103,28680,1.19,0.74,0.11,0.62,0.11,0.12,14323,K - D diff.,3355,2407,1.39,1.11,75.5%,16.5%,14357,9043,3866,1146,250,18,7051,10272,391,3442,173,35,1.15
11283,ottoNd,Otto Sihvo,24,Finland,HAVU,"HAVU, Valiance, CR4ZY, c0ntact",16712,14070,26.9%,76.2,3.3,855,22591,1.19,0.74,0.1,0.62,0.09,0.11,11142,K - D diff.,2836,1902,1.49,1.15,75.5%,18.0%,11449,6904,3104,955,160,19,3782,9345,556,2879,170,13,1.15
9277,FREDDyFROG,Fredrik Gustafsson,29,Sweden,,"Chaos, Red Reserve, Apeks, Japaleno, Galaxy Racer",23743,20127,40.3%,80.4,3.9,1207,32156,1.18,0.74,0.14,0.63,0.09,0.11,15874,K - D diff.,3341,2595,1.29,1.05,71.6%,14.8%,16282,10005,4180,1409,249,31,16327,1351,1505,4241,289,116,1.11
15821,NEOFRAG,Adam Zouhar,21,Czech Republic,OG,SINNERS,13707,12172,49.0%,86.2,8.5,676,18080,1.13,0.76,0.16,0.67,0.09,0.12,8891,K - D diff.,2282,1926,1.18,1.12,72.9%,17.6%,9189,5369,2488,817,174,43,10748,406,289,2068,201,31,1.18
9136,Brehze,Vincent Cayonte,24,United States,Evil Geniuses,"Evil Geniuses, NRG",23029,20248,52.4%,80.5,2.5,1164,30296,1.14,0.76,0.12,0.67,0.1,0.12,15137,K - D diff.,3096,2783,1.11,1.02,73.4%,14.4%,15159,9359,4034,1406,306,32,17813,348,647,4110,131,40,1.1
13254,TenZ,Tyson Ngo,21,Canada,,"Bad News Bears, ATK",7931,7092,51.3%,82.4,3.2,401,10399,1.12,0.76,0.14,0.68,0.1,0.12,5128,K - D diff.,1173,1121,1.05,1.05,71.3%,15.6%,5271,3097,1401,503,112,15,5215,814,237,1583,62,38,1.15
14619,Infinite,Gage Green,24,United States,ONET4P,Party Astronauts,16071,14047,50.8%,81.2,4.9,827,21545,1.14,0.75,0.14,0.65,0.1,0.11,10526,K - D diff.,2310,2137,1.08,1.04,72.7%,14.6%,11019,6462,2853,973,206,32,11610,464,1064,2730,202,54,1.16
11219,CeRq,Tsvetelin Dimitrov,22,Bulgaria,Evil Geniuses,"Evil Geniuses, NRG, Outlaws",22812,19387,27.9%,74.2,2.4,1199,31114,1.18,0.73,0.1,0.62,0.1,0.11,15199,K - D diff.,3923,2745,1.43,1.15,75.1%,18.0%,15915,9524,4043,1347,264,21,5642,12614,716,3714,150,30,1.14
29,f0rest,Patrik Lindberg,34,Sweden,,"NIP, Dignitas",40979,35331,51.9%,76.3,3.7,2089,54327,1.16,0.75,0.12,0.65,0.09,0.1,27163,K - D diff.,5897,4745,1.24,1.06,76.5%,15.6%,27164,16782,7563,2322,453,43,27542,4275,1344,7336,395,151,1.1
10664,Olivia,Peeratch Ingkudanonda,24,Thailand,LZ,"Beyond, Alpha Red, Signature",12279,10714,37.0%,78.5,2.4,634,16189,1.15,0.76,0.11,0.66,0.08,0.09,8107,K - D diff.,2002,1468,1.36,1.13,75.2%,18.0%,8082,4975,2262,719,132,19,6032,3508,575,2052,95,56,1.13
13670,nawwk,Tim Jonasson,24,Sweden,Apeks,"Apeks, GamerLegion, NIP, x6tence Galaxy",17547,14717,35.4%,73.5,2.8,894,23861,1.19,0.74,0.09,0.62,0.09,0.11,11865,K - D diff.,2434,1584,1.54,1.07,76.2%,15.2%,11996,7534,3173,979,165,14,5716,8044,613,2996,180,57,1.12
12126,poizon,Valentin Vasilev,23,Bulgaria,fnatic,"Complexity, Windigo, Bpro",21485,18630,33.6%,78.0,3.8,1101,29160,1.15,0.74,0.12,0.64,0.09,0.1,14140,K - D diff.,3694,2772,1.33,1.14,76.2%,18.4%,15020,8731,3815,1285,276,33,6183,11134,375,3612,213,30,1.14
15698,dumau,Eduardo Wolkmer,18,Brazil,00NATION,"GODSENT, Yeah",9294,7852,41.6%,80.2,4.7,473,12553,1.18,0.74,0.13,0.63,0.08,0.11,6282,K - D diff.,1373,1058,1.3,1.07,73.6%,15.6%,6271,3982,1707,483,101,9,6343,1035,267,1487,140,71,1.16
9895,mertz,Daniel Mertz,23,Denmark,,"North Academy, Heroic, North, Nordavind, Singularity",19077,16483,32.5%,77.4,2.4,955,25333,1.16,0.75,0.1,0.65,0.1,0.1,12723,K - D diff.,3710,2616,1.42,1.23,74.1%,21.2%,12610,7947,3448,1096,214,18,3881,10977,630,3478,142,35,1.1
20097,h4rn,Deyvid Benchev,22,Bulgaria,Enterprise,"FATE, Fiend",10915,9130,28.6%,74.1,3.3,566,15106,1.2,0.72,0.1,0.6,0.09,0.09,7367,K - D diff.,1771,1181,1.5,1.12,75.4%,17.3%,7739,4690,1941,614,109,13,2778,6103,221,1683,117,64,1.14
11264,WARDELL,Matthew Yu,24,Canada,,"Ghost, Bee's Money Crew, Orgless",11627,9979,27.2%,74.2,2.1,609,15901,1.17,0.73,0.1,0.63,0.09,0.1,7692,K - D diff.,2057,1399,1.47,1.17,72.3%,18.5%,8209,4738,2139,663,138,14,1523,7327,605,2109,94,12,1.13
8789,mir,Nikolay Bityukov,26,Russia,Entropiq,"Spirit, Vega Squadron, Gambit",20159,17517,52.1%,81.4,4.9,1015,26603,1.15,0.76,0.13,0.66,0.1,0.12,13431,K - D diff.,3080,2525,1.22,1.09,74.2%,16.5%,13172,8352,3690,1148,222,19,15573,433,876,3028,245,49,1.1
5021,swag,Braxton Pierce,25,United States,,"Swole Patrol, Torqued, iBUYPOWER, Lazarus",10527,8898,49.5%,77.6,4.7,556,14447,1.18,0.73,0.14,0.62,0.08,0.09,7071,K - D diff.,1395,1165,1.2,1.02,75.7%,13.6%,7376,4462,1915,564,122,8,6649,1365,460,1847,172,55,1.1
8565,HEN1,Henrique Teles,27,Brazil,,"Immortals, FURIA, Luminosity",20188,16640,28.8%,74.8,3.8,1101,28598,1.21,0.71,0.12,0.58,0.08,0.09,13719,K - D diff.,3022,1984,1.52,1.08,74.4%,14.9%,14879,8790,3642,1054,213,20,5239,10163,896,3609,230,98,1.1
14505,ekul,Luke Blakey,27,Australia,,"Paradox, SYF",8895,7909,36.6%,80.0,2.9,452,11703,1.12,0.76,0.11,0.68,0.08,0.09,5842,K - D diff.,1757,1334,1.32,1.23,71.8%,21.7%,5861,3584,1605,526,112,15,3116,3874,187,1615,77,43,1.14
16555,Ax1Le,Sergey Rykhtorov,20,Russia,Cloud9,"Gambit Youngsters, Gambit",18478,15914,48.6%,80.4,5.2,957,25369,1.16,0.73,0.14,0.63,0.09,0.09,12233,K - D diff.,2763,2265,1.22,1.06,76.4%,15.4%,13136,7552,3377,1068,212,24,13952,687,766,2819,265,47,1.16
18743,nython,Gabriel Lino,24,Brazil,paiN,"RED Canids, Paquetá, paiN",10480,9064,37.6%,76.7,2.3,524,13953,1.16,0.75,0.11,0.65,0.09,0.1,7048,K - D diff.,1772,1254,1.41,1.15,73.9%,17.8%,6905,4449,1899,575,117,8,4112,4257,327,1734,60,19,1.14
11139,aliStair,Alistair Johnston,24,Australia,ORDER,"ORDER, Chiefs, Renegades",19564,16750,35.1%,76.0,3.4,1057,26844,1.17,0.73,0.12,0.62,0.09,0.09,13106,K - D diff.,3629,2820,1.29,1.17,77.3%,18.7%,13738,8245,3539,1072,225,25,7121,7659,1103,3380,290,70,1.14
12271,moose,Kaleb Jayne,24,Canada,,"eUnited, Rise Nation",14503,12528,44.1%,79.2,2.0,752,19559,1.16,0.74,0.12,0.64,0.08,0.09,9691,K - D diff.,2043,1500,1.36,1.06,76.5%,15.3%,9868,6043,2660,828,144,16,10480,939,753,2236,95,28,1.14
10263,xccurate,Kevin Susanto,24,Indonesia,NKT,"TYLOO, Recca, BTRG, NKT",13334,11610,31.2%,74.2,1.9,698,18113,1.15,0.74,0.1,0.64,0.1,0.1,8857,K - D diff.,2102,1535,1.37,1.11,75.8%,16.5%,9256,5525,2381,774,160,17,3313,6969,605,2367,86,20,1.09
8370,mixwell,Oscar Cañellas,26,Spain,,"OpTic, Movistar Riders",16275,14364,38.1%,79.5,5.7,840,21804,1.13,0.75,0.13,0.66,0.1,0.1,10742,K - D diff.,2859,2317,1.23,1.15,74.4%,18.6%,11062,6669,2862,994,192,25,6823,5352,807,2952,315,60,1.09
695,allu,Aleksi Jalli,30,Finland,temp,"ENCE, NIP, FaZe",31366,27037,28.6%,74.9,3.6,1615,42334,1.16,0.74,0.11,0.64,0.08,0.09,21027,K - D diff.,5021,3302,1.52,1.13,76.7%,17.5%,21307,13181,5782,1697,336,31,8713,15102,1531,5345,503,216,1.09
8918,electroNic,Denis Sharipov,23,Russia,Natus Vincere,"Natus Vincere, FlipSid3",25927,22812,50.3%,82.9,4.6,1318,34779,1.14,0.75,0.14,0.66,0.09,0.1,17140,K - D diff.,4084,3621,1.13,1.08,73.2%,16.4%,17639,10582,4708,1510,302,38,19820,199,1387,4222,285,71,1.09
18221,Spinx,Lotan Giladi,21,Israel,ENCE,"ENCE, c0ntact",8661,7619,56.2%,78.7,3.4,442,11732,1.14,0.74,0.11,0.65,0.08,0.1,5714,K - D diff.,1178,1080,1.09,1.02,71.5%,13.7%,6018,3506,1611,474,104,19,6595,245,252,1465,76,51,1.13
7266,syrsoN,Florian Rische,26,Germany,BIG,"BIG, ALTERNATE aTTaX, Sprout",33692,29045,29.4%,74.3,2.5,1735,46095,1.16,0.73,0.1,0.63,0.08,0.09,22550,K - D diff.,6366,4518,1.41,1.19,75.5%,20.2%,23545,14140,6097,1930,351,32,5382,20663,1967,5329,318,117,1.09
